StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,Lat,Long,ZipCodes,SitingDesc
143,San Juan Valley,Hollister,South Central Region Office,San Benito,1/1/1998,12/31/2050,True,False,245,Grass,36.822861,-121.46787,"['95045', '93257']",
144,Petaluma East,Petaluma,North Central Region Office,Sonoma,8/25/1999,12/31/2050,True,True,97,Grass,38.266428,-122.61646,"['94999', '94975', '94955', '94954', '94953', '94952']",
145,Madera,Madera,South Central Region Office,Madera,5/13/1998,3/27/2013,False,True,230,Grass,37.016528,-120.18639,"['93657', '93639', '93638', '93637']",
146,Belridge,Lost Hills,South Central Region Office,Kern,10/9/1998,12/31/2050,True,True,410,Grass,35.505833,-119.69114,['93206'],
147,Otay Lake,Chula Vista,Southern Region Office,San Diego,4/15/1999,12/31/2050,True,True,580,Grass,32.628208,-116.93928,"['91921', '91915', '91914', '91913', '91912', '91911', '91910', '91909', '90910']",
148,Merced,Merced,South Central Region Office,Merced,1/4/1999,4/9/2024,False,True,200,Grass,37.314139,-120.3867,"['95340', '95365', '95344', '95341', '95333']",
149,Oakland Foothills,Oakland,North Central Region Office,Alameda,3/25/1999,8/13/2013,False,False,145,Grass,37.780653,-122.18015,['94613'],
150,Miramar,La Jolla,Southern Region Office,San Diego,4/23/1999,12/31/2050,True,True,445,Grass,32.885847,-117.14314,"['92093', '92092', '92039', '92038', '92037']",
151,Ripley,Blythe,Southern Region Office,Riverside,12/19/1998,12/31/2050,True,True,251,Alfalfa,33.532222,-114.63389,"['92228', '92227', '92226', '92225']",
152,Camarillo,Camarillo,Southern Region Office,Ventura,1/21/2000,12/31/2050,True,True,130,Grass,34.219386,-118.99244,"['93012', '93011', '93010']",
153,Escondido SPV,Escondido,Southern Region Office,San Diego,2/1/1999,12/31/2050,True,True,390,Grass,33.08105,-116.9757,"['92046', '92033', '92030', '92029', '92027', '92026', '92025']",
154,Salton Sea North,North Shore,Southern Region Office,Riverside,10/15/1998,10/30/2003,False,False,-200,Bare,33.503889,-115.91556,['92257'],
155,Bryte (experimental),West Sacramento,North Central Region Office,Yolo,12/10/1998,9/6/2022,False,False,40,Bare,38.599158,-121.54041,"['95799', '95798', '95691', '95605']",
156,Oxnard,Oxnard,Southern Region Office,Ventura,10/12/2001,4/27/2017,False,False,48,Grass,34.233639,-119.19692,"['93042', '93044', '93043', '93041', '93035', '93034', '93032', '93031', '93030']",
157,Point San Pedro,San Rafael,North Central Region Office,Marin,10/11/2002,12/31/2050,True,True,5,Grass,37.995478,-122.467656,['94925'],
158,Bennett Valley,Santa Rosa,North Central Region Office,Sonoma,10/1/2000,12/31/2050,True,True,270,Grass,38.419439,-122.65872,"['95409', '95408', '95407', '95406', '95405', '95404', '95403', '95402', '95401']",
159,Monrovia,Monrovia,Southern Region Office,Los Angeles,10/15/1999,12/31/2050,True,False,595,Grass,34.146372,-117.9858,"['91017', '91016']",
160,San Luis Obispo West,San Luis Obispo,Southern Region Office,San Luis Obispo,11/1/2000,12/31/2050,True,True,285,Grass,35.335261,-120.73588,"['93410', '93409', '93408', '93407', '93406', '93405', '93403', '93402', '93401']",
161,Patterson,Patterson,South Central Region Office,Stanislaus,8/23/1999,10/12/2017,False,False,183,Grass,37.438944,-121.13851,"['95387', '95313', '95363']",
162,Indio,Indio,Southern Region Office,Riverside,12/24/1999,2/26/2006,False,True,40,Grass,33.746111,-116.25778,"['92203', '92202', '92201']",
